Blog	doesnt	months	lot	morning	friday	trump	might	see	earlier	business	water	service	know	major	san	sunday	comes	using	data	youre	people	app	version	better	hillary	department	everything	wrong	hours	matter	sure	web	done	good	youve	league	way	building	next	anyone	part	think	makes	theres	something	much	get	ever	released	great	pick	series	convention	blog	company	days	still	democratic	according	set	hit	health	used	huge	trying	youll	want	shows	always	perfect	look	whose	ive	well	new	donald	american	news	whole	help	year	meet	tim	car	read	night	however	agreement	photo	media	hes	probably	content	website	americas	since	man	post	email	nothing	project	though	appeared	music	ways	wont	h	upcoming	companies	thats	actually	republican	show	fans	system	daily	dnc	going	wonder	another	smart	favorite	available	heres	ceo	guy	says	surface	years	high	plans	second	little	four	bad	worlds	city	stars	question	director	police	course	key	wireless	month	talk	growth	past	report	enough	started	said	play	latest	first	writing	lets	tools	original	amazon	making	familiar	experience	comiccon	looks	learn	without	finally	would	open	dont	full	please	find	running	biggest	week	olympic	game	party	creative	trumps	york	welcome	results	seem	three	bit	together	country	official	believe	buy	billion	massive	big	location	point	ones	may	live	july	customers	survive	day	design	someone	old	feel	use	house	early	behind	could	thing	name	least	verizon	quick	long	many	really	thanks	around	life	via	money	instead	got	idea	beyond	south	number	designed	found	continue	kaine	movie	need	states	visit	like	power	time	summer	win	pokémon	john	users	best	internet	back	call	trailer	information	white	check	google	windows	recent	related	us	often	change	one	woman	nasa	book	every	team	last	trek	keep	right	away	world	men	hard	click	thought	human	called	reported	along	site	process	leave	share	case	state	article	family	saturday	national	coming	twitter	yet	million	opening	tv	place	top	give	clinton	weve	easy	weeks	today	quickly	came	decided	make	stories	take	women	space	made	sweet	become	ago	former	kind	reading	games	weekend	im	online	say	home	technology	including	watch	never	real	tech	theyre	didnt	links	panel	video	run	across	far	price	things	two	star	even	list	person	come	anything	support	small	given	love	free	work
InStyle News	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Design Milk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
John Battelle's Search Blog	0	0	1	0	0	0	0	1	0	5	0	0	4	2	2	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	0	1	1	1	0	1	0	2	0	21	2	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	7	1	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	20	0	0	0	0	0	4	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	21	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	20	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	3	3	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1	0	1	0	0	0	2	0	0	3	1	0	0	0	0	2	0	0	0	0	0	0	1
Eschaton	0	0	3	0	0	5	3	0	1	0	0	1	3	0	0	0	0	1	3	0	13	0	0	0	0	1	3	3	0	0	2	0	0	3	0	0	1	0	0	3	0	4	0	3	2	7	2	1	0	0	2	0	0	0	1	0	3	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	1	1	1	0	0	1	2	0	0	0	0	3	6	0	0	0	0	3	5	0	1	0	0	2	0	0	0	0	0	0	0	2	1	1	1	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	1	2	7	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	2	1	1	1	0	0	0	1	0	0	2	2	1	1	2	0	5	2	0	3	0	0	1	4	4	0	0	0	1	1	0	2	1	0	0	0	0	0	1	1	0	1	2	0	3	1	3	0	2	0	0	0	0	1	3	1	0	0	1	0	0	0	0	0	4	0	2	5	0	0	0	1	3	1	0	1	3	1	1	2	1	0	4	1	0	0	0	0	2	0	1	1	4	0	0	1	0	1	0	2	3	2	0	0	1	1	0	1	0	1	2	0	0	0	2	0	1	2	0	2	1	0	0	0	3	0	0	1	3	0	3	0	0	3	0	2	0	2	0	3	0	0	0	0	0	0	0	2	0	0	4	0	0	3	2	1	0	3	1	0	0
Reuters: Environment	0	0	0	0	2	0	0	0	1	0	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FOX Sports Digital	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
SELF	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	3	0	2	0	0	1	0	1	0	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	25	0	0	0	0	25	0	1	0	0	0	0	1	1	1	1	1	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	27	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	3	0	0	1	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0
Go Fug Yourself	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	20	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
TechCrunch	0	0	0	1	0	0	1	1	1	1	0	2	1	0	3	0	0	1	0	0	2	3	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	0	4	0	0	0	0	1	0	1	0	0	0	0	0	1	0	6	0	0	0	0	2	4	2	0	1	21	0	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	2	2	0	0	0	4	2	1	0	1	1	1	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	3	0	0	1	0	0	0	2	2	0	0	1	1	1	2	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	2	1	0	0	1	2	0	0	2	0	0	0	2	3	1	0	1	1	0	1	3	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	3	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	3	1	1	7	0	2	0	0	1	4	0	1	2	2	4	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	1	0	1	1	2	0	2	0	0	1	1	0	1	0	2	2	0	1	0	0	2	0	2	3	0	1	1	1	2	0	0	0	0	0	1	0	1	0	1
ABC News: Travel	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	1	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
